Opened,Date,Product,Christmas,Chinese NY,Weeknum
02/12/2021 14:38:31,02/12/2021,SP4,NO,NO,49
05/01/2022 14:59:27,05/01/2022,SP4,YES,NO,2
04/08/2021 13:54:11,04/08/2021,SP4,NO,NO,32
20/08/2021 18:17:44,20/08/2021,SP4,NO,NO,34
21/08/2021 13:21:32,21/08/2021,SP4,NO,NO,34
22/08/2021 01:29:22,22/08/2021,SP4,NO,NO,35
22/08/2021 01:33:24,22/08/2021,SP4,NO,NO,35
22/08/2021 02:10:37,22/08/2021,SP4,NO,NO,35
22/08/2021 02:18:58,22/08/2021,SP4,NO,NO,35
22/08/2021 02:26:43,22/08/2021,SP4,NO,NO,35
10/11/2021 12:51:14,10/11/2021,SP4,NO,NO,46
15/11/2021 19:54:30,15/11/2021,SP4,NO,NO,47
04/08/2021 14:05:20,04/08/2021,SP4,NO,NO,32
11/10/2021 10:02:00,11/10/2021,SP4,NO,NO,42
01/12/2021 21:16:06,01/12/2021,SP4,NO,NO,49
02/02/2022 07:00:46,02/02/2022,SP4,NO,YES,6
21/02/2022 17:50:58,21/02/2022,SP4,NO,NO,9
14/03/2022 08:53:09,14/03/2022,SP4,NO,NO,12
12/04/2022 12:37:21,12/04/2022,SP4,NO,NO,16
20/05/2022 16:29:01,20/05/2022,SP4,NO,NO,21
10/06/2022 12:59:33,10/06/2022,SP4,NO,NO,24
02/09/2021 22:00:50,02/09/2021,SP4,NO,NO,36
15/11/2021 17:04:46,15/11/2021,SP4,NO,NO,47
31/08/2021 11:45:12,31/08/2021,SP4,NO,NO,36
06/12/2021 11:22:00,06/12/2021,SP4,NO,NO,50
06/12/2021 11:35:29,06/12/2021,SP4,NO,NO,50
04/10/2021 12:50:19,04/10/2021,SP4,NO,NO,41
07/12/2021 13:00:42,07/12/2021,SP4,NO,NO,50
25/01/2022 13:10:25,25/01/2022,SP4,NO,NO,5
28/11/2021 05:18:56,28/11/2021,SP4,NO,NO,49
17/01/2022 12:20:39,17/01/2022,SP4,NO,NO,4
28/01/2022 17:03:32,28/01/2022,SP4,NO,NO,5
23/11/2021 11:28:41,23/11/2021,SP4,NO,NO,48
19/04/2022 08:15:27,19/04/2022,SP4,NO,NO,17
13/07/2021 04:23:45,13/07/2021,SP4,NO,NO,29
13/01/2022 10:30:03,13/01/2022,SP4,NO,NO,3
19/05/2022 20:58:28,19/05/2022,SP4,NO,NO,21
22/08/2021 02:31:52,22/08/2021,SP4,NO,NO,35
13/06/2022 03:53:40,13/06/2022,SP4,NO,NO,25
02/12/2021 13:55:46,02/12/2021,SP4,NO,NO,49
07/12/2021 03:50:51,07/12/2021,SP4,NO,NO,50
10/05/2022 08:54:41,10/05/2022,SP4,NO,NO,20
07/01/2022 15:10:29,07/01/2022,SP4,NO,NO,2
10/12/2021 12:20:46,10/12/2021,SP4,NO,NO,50
01/12/2021 12:50:27,01/12/2021,SP4,NO,NO,49
28/01/2022 14:11:04,28/01/2022,SP4,NO,NO,5
18/03/2022 14:21:29,18/03/2022,SP4,NO,NO,12
17/05/2022 09:48:23,17/05/2022,SP4,NO,NO,21
31/08/2021 10:45:44,31/08/2021,SP4,NO,NO,36
18/08/2021 06:00:57,18/08/2021,SP4,NO,NO,34
13/01/2022 16:36:43,13/01/2022,SP4,NO,NO,3
01/04/2022 10:02:19,01/04/2022,SP4,NO,NO,14
01/02/2022 16:36:18,01/02/2022,SP4,NO,YES,6
23/11/2021 08:13:48,23/11/2021,SP4,NO,NO,48
07/09/2021 21:58:13,07/09/2021,SP4,NO,NO,37
23/11/2021 13:54:40,23/11/2021,SP4,NO,NO,48
24/01/2022 13:04:23,24/01/2022,SP4,NO,NO,5
05/05/2022 17:49:06,05/05/2022,SP4,NO,NO,19
01/09/2021 10:07:32,01/09/2021,SP4,NO,NO,36
02/09/2021 14:30:48,02/09/2021,SP4,NO,NO,36
03/09/2021 20:40:03,03/09/2021,SP4,NO,NO,36
06/09/2021 08:17:21,06/09/2021,SP4,NO,NO,37
06/09/2021 08:20:47,06/09/2021,SP4,NO,NO,37
06/09/2021 18:53:23,06/09/2021,SP4,NO,NO,37
08/09/2021 03:27:45,08/09/2021,SP4,NO,NO,37
10/09/2021 02:16:16,10/09/2021,SP4,NO,NO,37
31/08/2021 10:16:48,31/08/2021,SP4,NO,NO,36
13/09/2021 16:25:34,13/09/2021,SP4,NO,NO,38
13/09/2021 16:26:10,13/09/2021,SP4,NO,NO,38
13/09/2021 16:26:38,13/09/2021,SP4,NO,NO,38
20/12/2021 14:11:13,20/12/2021,SP4,NO,NO,52
20/12/2021 14:11:18,20/12/2021,SP4,NO,NO,52
03/03/2022 17:56:13,03/03/2022,SP4,NO,NO,10
08/03/2022 12:51:22,08/03/2022,SP4,NO,NO,11
08/03/2022 13:21:43,08/03/2022,SP4,NO,NO,11
08/03/2022 13:46:22,08/03/2022,SP4,NO,NO,11
04/10/2021 07:18:55,04/10/2021,SP4,NO,NO,41
04/10/2021 07:22:55,04/10/2021,SP4,NO,NO,41
04/10/2021 07:30:37,04/10/2021,SP4,NO,NO,41
04/10/2021 07:38:17,04/10/2021,SP4,NO,NO,41
04/10/2021 07:43:58,04/10/2021,SP4,NO,NO,41
04/10/2021 07:47:38,04/10/2021,SP4,NO,NO,41
04/10/2021 07:54:49,04/10/2021,SP4,NO,NO,41
04/10/2021 08:20:10,04/10/2021,SP4,NO,NO,41
04/10/2021 08:39:22,04/10/2021,SP4,NO,NO,41
17/01/2022 12:24:06,17/01/2022,SP4,NO,NO,4
17/01/2022 12:29:26,17/01/2022,SP4,NO,NO,4
17/01/2022 12:32:45,17/01/2022,SP4,NO,NO,4
17/01/2022 12:35:26,17/01/2022,SP4,NO,NO,4
17/01/2022 12:37:56,17/01/2022,SP4,NO,NO,4
14/02/2022 14:06:41,14/02/2022,SP4,NO,NO,8
08/06/2022 10:23:19,08/06/2022,SP4,NO,NO,24
23/06/2022 13:50:06,23/06/2022,SP4,NO,NO,26
27/06/2022 05:00:50,27/06/2022,SP4,NO,NO,27
23/06/2022 12:58:06,23/06/2022,SP4,NO,NO,26
16/12/2021 05:31:27,16/12/2021,SP4,NO,NO,51
29/10/2021 08:04:44,29/10/2021,SP4,NO,NO,44
01/11/2021 22:55:50,01/11/2021,SP4,NO,NO,45
13/01/2022 13:22:55,13/01/2022,SP4,NO,NO,3
13/01/2022 13:33:09,13/01/2022,SP4,NO,NO,3
13/01/2022 13:37:27,13/01/2022,SP4,NO,NO,3
13/01/2022 13:41:49,13/01/2022,SP4,NO,NO,3
13/01/2022 14:00:20,13/01/2022,SP4,NO,NO,3
13/01/2022 14:39:04,13/01/2022,SP4,NO,NO,3
13/01/2022 15:37:35,13/01/2022,SP4,NO,NO,3
27/10/2021 12:16:38,27/10/2021,SP4,NO,NO,44
01/04/2022 10:52:04,01/04/2022,SP4,NO,NO,14
01/04/2022 10:56:01,01/04/2022,SP4,NO,NO,14
01/04/2022 10:57:21,01/04/2022,SP4,NO,NO,14
01/04/2022 10:58:28,01/04/2022,SP4,NO,NO,14
01/04/2022 10:59:11,01/04/2022,SP4,NO,NO,14
01/04/2022 11:07:39,01/04/2022,SP4,NO,NO,14
04/04/2022 13:38:52,04/04/2022,SP4,NO,NO,15
04/04/2022 13:41:54,04/04/2022,SP4,NO,NO,15
04/04/2022 13:44:57,04/04/2022,SP4,NO,NO,15
04/04/2022 13:46:18,04/04/2022,SP4,NO,NO,15
04/04/2022 13:47:59,04/04/2022,SP4,NO,NO,15
04/04/2022 13:48:30,04/04/2022,SP4,NO,NO,15
04/04/2022 13:49:33,04/04/2022,SP4,NO,NO,15
